file_id,input_path,output_path,field,value,confidence,engine,regionCode,regionName,type,bbox,artifactLocalPath
MX-M3658N_20260813_185228_001.png,.jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_001.pdf,outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_001.png,fill_blank_score_text,10,0.8103123903274536,paddleocr,FillBlank,填空题,score,"[125, 998, 95, 60]",
MX-M3658N_20260813_185228_001.png,.jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_001.pdf,outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_001.png,fill_q12_answer_text,,0.0,paddleocr,Q12,第12题填空题,answer,"[170, 1068, 225, 60]",
MX-M3658N_20260813_185228_001.png,.jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_001.pdf,outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_001.png,fill_q13_answer_text,10,0.9997860193252563,paddleocr,Q13,第13题填空题,answer,"[485, 1068, 225, 60]",
MX-M3658N_20260813_185228_001.png,.jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_001.pdf,outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_001.png,fill_q14_answer_text,12,0.9998849630355835,paddleocr,Q14,第14题填空题,answer,"[790, 1068, 225, 60]",
MX-M3658N_20260813_185228_001.png,.jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_001.pdf,outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_001.png,q15_score_text,30,0.999970018863678,paddleocr,Q15,第15题解答题,score,"[125, 1182, 95, 65]",
MX-M3658N_20260813_185228_001.png,.jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_001.pdf,outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_001.png,solution_q15_answer_text,,0.0,paddleocr,Q15,第15题解答题,answer,"[85, 1257, 1020, 300]",
MX-M3658N_20260813_185228_002.png,.jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_002.pdf,outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_002.png,fill_blank_score_text,10,0.9909491539001465,paddleocr,FillBlank,填空题,score,"[125, 998, 95, 60]",
MX-M3658N_20260813_185228_002.png,.jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_002.pdf,outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_002.png,fill_q12_answer_text,24公,0.587258830666542,paddleocr,Q12,第12题填空题,answer,"[170, 1068, 225, 60]",
MX-M3658N_20260813_185228_002.png,.jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_002.pdf,outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_002.png,fill_q13_answer_text,25,0.9998013973236084,paddleocr,Q13,第13题填空题,answer,"[485, 1068, 225, 60]",
MX-M3658N_20260813_185228_002.png,.jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_002.pdf,outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_002.png,fill_q14_answer_text,26,0.999918520450592,paddleocr,Q14,第14题填空题,answer,"[790, 1068, 225, 60]",
MX-M3658N_20260813_185228_002.png,.jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_002.pdf,outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_002.png,q15_score_text,15,0.9998077750205994,paddleocr,Q15,第15题解答题,score,"[125, 1182, 95, 65]",
