"file_id","input_path","output_path","score","id1","id2","id3","id4","id5","id6","id7","id8","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","fill_blank_score_text","fill_q12_answer_text","fill_q13_answer_text","fill_q14_answer_text","q14_score_text","solution_q15_answer_text"
"MX-M3658N_20260813_185511_001.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_001.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_001.png","0","2","0","2","6","3","0","0","1","B","A","B","A","A","D","B","C","ABD","AB","BC","1S","","","","30","1）原式=一122）19√565"
"MX-M3658N_20260813_185511_002.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_002.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_002.png","0","2","0","2","6","3","0","0","2","B","A","B","A","A","D","B","C","AB","AB","AB","10","","","","2",""
"MX-M3658N_20260813_185511_003.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_003.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_003.png","0","2","0","2","6","3","0","0","3","B","A","B","A","A","D","B","C","AB","AB","AD","：l0","","","",":70",""
"MX-M3658N_20260813_185511_004.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_004.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_004.png","0","2","0","2","6","3","0","0","4","B","A","B","A","A","D","B","C","A","A","A","l","","","","0",""
"MX-M3658N_20260813_185511_005.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_005.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_005.png","0","2","0","2","6","3","0","0","5","B","A","B","A","A","D","B","C","A","A","A","10","","","","8",""
"MX-M3658N_20260813_185511_006.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_006.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_006.png","0","2","0","2","6","3","0","0","6","B","A","B","A","A","D","B","C","A","A","A","10","","","","S",""
"MX-M3658N_20260813_185511_007.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_007.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_007.png","0","2","0","2","6","3","0","0","7","B","A","B","A","A","D","B","C","AB","A","A",":10","","","","15",""
"MX-M3658N_20260813_185511_008.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_008.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_008.png","0","2","0","2","6","3","0","0","8","B","A","B","A","A","D","B","C","C","C","C","：10","","","",":30",""
"MX-M3658N_20260813_185511_009.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_009.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_009.png","0","2","0","2","6","3","0","0","9","B","A","B","A","A","D","B","C","D","D","BCD","l0","","J","","0",""
"MX-M3658N_20260813_185511_010.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_010.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_010.png","0","2","0","2","6","3","0","1","0","B","A","B","A","A","D","B","C","B","B","B","l","","","","18",""
"MX-M3658N_20260813_185511_011.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_011.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_011.png","0","2","0","2","6","3","0","1","1","B","A","B","A","A","D","B","C","C","C","C","1v","","","","V",""
"MX-M3658N_20260813_185511_012.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_012.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_012.png","0","2","0","2","6","3","0","1","2","B","A","B","A","A","D","B","C","AC","B","ABD","10","","","","19",""
"MX-M3658N_20260813_185511_013.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_013.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_013.png","0","2","0","2","6","3","0","1","3","B","A","B","A","A","D","B","C","D","A","AB",":10","","","","18",""
"MX-M3658N_20260813_185511_014.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_014.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_014.png","0","2","0","2","6","3","0","1","4","B","A","B","A","A","D","B","C","B","B","B","N","","","","1",""
"MX-M3658N_20260813_185511_015.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_015.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_015.png","0","2","0","2","6","3","0","1","5","B","A","B","A","A","D","B","C","AB","B","A","N","","","","V",""
"MX-M3658N_20260813_185511_016.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_016.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_016.png","0","2","0","2","6","3","0","1","6","B","A","B","A","A","D","B","C","A","A","D",":10","","","","70",""
"MX-M3658N_20260813_185511_017.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_017.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_017.png","0","2","0","2","6","3","0","1","7","B","A","B","A","A","D","C","C","A","A","A","0","","","","(0",""
"MX-M3658N_20260813_185511_018.png",".jcode_runs\gaoyi3\MX-M3658N_20260813_185511_018.pdf","outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_018.png","0","2","0","2","6","3","0","1","8","B","A","B","A","A","D","B","D","AB","ABCD","AB",":10","","","","0",""
